Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1/1/2013,1497,1524,1484.95,1515,1514.4,446063,6729.15
1/2/2013,1518.8,1566,1518.8,1564,1557.4,801361,12402.67
1/3/2013,1567,1567,1540.3,1541.4,1543.3,584243,9046.61
1/4/2013,1542,1558.9,1539.5,1545,1545.45,361754,5605.03
1/7/2013,1553.5,1601.75,1553.5,1583.95,1584.6,951298,15115.73
1/8/2013,1593.9,1594,1571,1575,1574.85,640368,10107.27
1/9/2013,1570,1595.4,1561.6,1570,1569.6,671715,10618.14
1/10/2013,1576.1,1589,1564.15,1565,1572.3,911264,14387.95
1/11/2013,1572,1592.95,1557.7,1564.1,1565.25,812488,12812.89
1/14/2013,1570,1578,1531,1543.6,1539.1,1491642,22981.52
1/15/2013,1545,1564.9,1543.2,1548,1546,693345,10770.46
1/16/2013,1540,1560,1482.3,1497.3,1493.2,1202364,18334.17
1/17/2013,1486.1,1521.7,1486.1,1494.3,1494.1,986779,14880.64
1/18/2013,1507.8,1564.2,1502.5,1549.9,1547.45,1741932,26949.16
1/21/2013,1555,1582.8,1550.75,1568,1574.6,1538191,24161.15
1/22/2013,1581,1594.9,1567.05,1568.75,1570.1,930310,14696.08
1/23/2013,1584,1586.35,1565.2,1575,1573.7,841493,13278.15
1/24/2013,1576,1578,1528.7,1545.25,1538.8,575646,8936.49
1/25/2013,1549,1606,1542.25,1603,1599.45,2993882,47346.59
1/28/2013,1621,1633.9,1600.5,1610,1608.15,1157319,18742.9
1/29/2013,1608,1628,1588,1590.9,1593.05,703176,11347.35
1/30/2013,1603.95,1622.75,1596,1602,1601.9,649445,10436.07
1/31/2013,1594,1616,1578.05,1587,1581.6,933230,14921.96
2/1/2013,1585.2,1621.8,1580,1604.7,1609.7,895967,14406.38
2/4/2013,1612,1616.8,1591,1598.15,1599.4,416405,6661.37
2/5/2013,1593,1610.5,1590,1601.25,1600.35,491977,7874.78
2/6/2013,1610,1639,1610,1628.1,1627.85,1082611,17641.61
2/7/2013,1626.95,1628.9,1614.4,1628.9,1622.35,480018,7781.54
2/8/2013,1625,1631.9,1577.15,1586.2,1587.7,659412,10572.68
